pl_name,pl_controv_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim
Kepler-397 b,0,2.460,21.320,-21.320,0,0.219,1.902,-1.902,0,6.62000,,,0,0.02080,,,0
Kepler-397 c,0,6.180,0.560,-0.560,0,0.551,0.050,-0.050,0,31.60000,,,0,0.09950,,,0
Kepler-398 b,0,0.930,0.100,-0.100,0,0.083,0.009,-0.009,0,0.74900,,,0,0.00236,,,0
Kepler-398 c,0,1.010,0.110,-0.110,0,0.090,0.010,-0.010,0,1.01000,,,0,0.00317,,,0
Kepler-398 d,0,0.880,0.030,-0.040,0,0.079,0.003,-0.004,0,0.61500,,,0,0.00193,,,0
Kepler-399 b,0,0.960,0.510,-0.510,0,0.086,0.045,-0.045,0,0.84000,,,0,0.00264,,,0
Kepler-399 c,0,1.430,0.770,-0.770,0,0.128,0.069,-0.069,0,2.63000,,,0,0.00829,,,0
Kepler-399 d,0,1.890,1.010,-1.010,0,0.169,0.090,-0.090,0,4.23000,,,0,0.01330,,,0
Kepler-4 b,0,4.002,0.213,-0.213,0,0.357,0.019,-0.019,0,24.47200,3.81400,-3.81400,0,0.07700,0.01200,-0.01200,0
Kepler-40 b,0,13.110,0.450,-0.450,0,1.170,0.040,-0.040,0,699.20000,127.10000,-127.10000,0,2.20000,0.40000,-0.40000,0
Kepler-400 b,0,1.650,0.300,-0.300,0,0.147,0.027,-0.027,0,3.36000,,,0,0.01060,,,0
Kepler-400 c,0,1.490,0.280,-0.280,0,0.133,0.025,-0.025,0,2.83000,,,0,0.00889,,,0
Kepler-401 b,0,1.710,0.400,-0.400,0,0.153,0.036,-0.036,0,3.57000,,,0,0.01120,,,0
Kepler-401 c,0,2.150,0.400,-0.400,0,0.192,0.036,-0.036,0,5.27000,,,0,0.01660,,,0
Kepler-401 d,0,2.270,0.400,-0.260,0,0.203,0.036,-0.023,0,5.77000,,,0,0.01820,,,0
Kepler-402 b,0,1.220,0.240,-0.240,0,0.109,0.021,-0.021,0,1.98000,,,0,0.00624,,,0
Kepler-402 c,0,1.560,0.350,-0.350,0,0.139,0.031,-0.031,0,3.05000,,,0,0.00961,,,0
Kepler-402 d,0,1.380,0.270,-0.270,0,0.123,0.024,-0.024,0,2.48000,,,0,0.00780,,,0
Kepler-402 e,0,1.460,0.290,-0.290,0,0.130,0.026,-0.026,0,2.73000,,,0,0.00859,,,0
Kepler-403 b,0,1.250,0.220,-0.220,0,0.112,0.020,-0.020,0,2.10000,,,0,0.00660,,,0
Kepler-403 c,0,1.750,0.320,-0.320,0,0.156,0.029,-0.029,0,3.71000,,,0,0.01170,,,0
Kepler-403 d,0,1.420,0.300,-0.190,0,0.127,0.027,-0.017,0,2.60000,,,0,0.00819,,,0
Kepler-404 b,0,1.270,0.550,-0.550,0,0.113,0.049,-0.049,0,2.15000,,,0,0.00678,,,0
Kepler-404 c,0,1.720,0.850,-0.850,0,0.153,0.076,-0.076,0,3.61000,,,0,0.01130,,,0
Kepler-405 b,0,2.080,0.990,-0.990,0,0.186,0.088,-0.088,0,4.98000,,,0,0.01570,,,0
Kepler-405 c,0,4.660,26.650,-26.650,0,0.416,2.378,-2.378,0,19.60000,,,0,0.06160,,,0
Kepler-406 b,0,1.430,0.030,-0.030,0,0.128,0.003,-0.003,0,6.35000,1.40000,-1.40000,0,0.02000,0.00400,-0.00400,0
Kepler-406 c,0,0.850,0.030,-0.030,0,0.076,0.003,-0.003,0,2.71000,1.80000,-1.80000,0,0.00900,0.00600,-0.00600,0
Kepler-407 b,0,1.070,0.020,-0.020,0,0.095,0.002,-0.002,0,3.20000,,,1,0.01007,,,1
Kepler-407 c,0,12.300,,,0,1.100,,,0,4000.00000,2000.00000,-2000.00000,0,12.60000,6.30000,-6.30000,0
Kepler-408 b,0,0.820,0.030,-0.030,0,0.073,0.003,-0.003,0,5.00000,,,1,0.01573,,,1
Kepler-409 b,0,1.199,0.043,-0.043,0,0.107,0.004,-0.004,0,6.00000,,,1,0.01888,,,1
Kepler-41 b,0,14.460,0.220,-0.220,0,1.290,0.020,-0.020,0,177.98000,25.43000,-25.43000,0,0.56000,0.08000,-0.08000,0
Kepler-410 A b,0,2.838,0.054,-0.054,0,0.253,0.005,-0.005,0,8.44000,,,0,0.02650,,,0
Kepler-411 b,0,2.401,0.053,-0.053,0,0.214,0.005,-0.005,0,25.60000,2.60000,-2.60000,0,0.08055,0.00818,-0.00818,0
Kepler-411 c,0,4.421,0.062,-0.062,0,0.394,0.006,-0.006,0,26.40000,5.90000,-5.90000,0,0.08306,0.01856,-0.01856,0
Kepler-411 d,0,3.319,0.104,-0.104,0,0.296,0.009,-0.009,0,15.20000,5.10000,-5.10000,0,0.04782,0.01605,-0.01605,0
Kepler-411 e,0,3.280,,,0,0.293,,,0,10.80000,1.10000,-1.10000,0,0.03398,0.00346,-0.00346,0
Kepler-412 b,0,15.031,0.493,-0.516,0,1.341,0.044,-0.046,0,299.07803,39.72875,-6.03877,0,0.94100,0.12500,-0.01900,0
Kepler-413 b,0,4.347,0.099,-0.099,0,0.388,0.009,-0.009,0,67.00000,22.00000,-21.00000,0,0.21100,0.06900,-0.06600,0
